slug,query,total,period_start,period_end,region,devices,visible_rows,evidence
arenda-agibot-x2,Agibot X2,138,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,3,raw/arenda-agibot-x2-1.wordstat.json
arenda-agibot-x2,аренда Agibot X2,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-agibot-x2-2.wordstat.json
arenda-agibot-x2,Agibot X2 робот,8,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-agibot-x2-3.wordstat.json
arenda-agibot-x2,Agibot X2 характеристики,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-agibot-x2-4.wordstat.json
arenda-bellabot,BellaBot,282,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,13,raw/arenda-bellabot-1.wordstat.json
arenda-bellabot,аренда BellaBot,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-bellabot-2.wordstat.json
arenda-bellabot,Беллабот,12,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,2,raw/arenda-bellabot-3.wordstat.json
arenda-bellabot,BellaBot характеристики,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-bellabot-4.wordstat.json
arenda-glambot,glambot,77,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,2,raw/arenda-glambot-1.wordstat.json
arenda-glambot,глэмбот,174,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,2,raw/arenda-glambot-2.wordstat.json
arenda-glambot,аренда глэмбота,1,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-glambot-3.wordstat.json
arenda-glambot,гламбот,38,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,1,raw/arenda-glambot-4.wordstat.json
arenda-inchbot-l1-w-edu,Inchbot L1-W EDU,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-inchbot-l1-w-edu-1.wordstat.json
arenda-inchbot-l1-w-edu,аренда Inchbot L1-W EDU,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-inchbot-l1-w-edu-2.wordstat.json
arenda-inchbot-l1-w-edu,робота-собаки Inchbot L1-W EDU,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-inchbot-l1-w-edu-3.wordstat.json
arenda-inchbot-l1-w-edu,Inchbot L1-W EDU характеристики,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-inchbot-l1-w-edu-4.wordstat.json
arenda-kettybot,KettyBot,38,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,3,raw/arenda-kettybot-1.wordstat.json
arenda-kettybot,аренда KettyBot,2,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-kettybot-2.wordstat.json
arenda-kettybot,Кеттибот,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-kettybot-3.wordstat.json
arenda-kettybot,KettyBot характеристики,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-kettybot-4.wordstat.json
arenda-klipmeiker,робот клипмейкер,2,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-klipmeiker-1.wordstat.json
arenda-klipmeiker,аренда клипмейкера,1,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-klipmeiker-2.wordstat.json
arenda-klipmeiker,робот видеооператор,7,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-klipmeiker-3.wordstat.json
arenda-klipmeiker,робот камера аренда,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-klipmeiker-4.wordstat.json
arenda-mini-robo-kofeyni,мини робо кофейня,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-mini-robo-kofeyni-1.wordstat.json
arenda-mini-robo-kofeyni,мини робокофейня аренда,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-mini-robo-kofeyni-2.wordstat.json
arenda-mini-robo-kofeyni,робо кофейня мороженое,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-mini-robo-kofeyni-3.wordstat.json
arenda-mini-robo-kofeyni,робот кофейня аренда,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-mini-robo-kofeyni-4.wordstat.json
arenda-noetix-bumi,Noetix Bumi,106,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,8,raw/arenda-noetix-bumi-1.wordstat.json
arenda-noetix-bumi,аренда Noetix Bumi,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-noetix-bumi-2.wordstat.json
arenda-noetix-bumi,Noetix Bumi робот,38,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,3,raw/arenda-noetix-bumi-3.wordstat.json
arenda-noetix-bumi,Noetix Bumi характеристики,3,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-noetix-bumi-4.wordstat.json
arenda-promobot-v4,Promobot V4,24,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,2,raw/arenda-promobot-v4-1.wordstat.json
arenda-promobot-v4,аренда Promobot V4,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-promobot-v4-2.wordstat.json
arenda-promobot-v4,Промобот V4,17,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,1,raw/arenda-promobot-v4-3.wordstat.json
arenda-promobot-v4,Promobot V4 характеристики,1,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-promobot-v4-4.wordstat.json
arenda-robo-kofeyni,робо кофейня,19,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,1,raw/arenda-robo-kofeyni-1.wordstat.json
arenda-robo-kofeyni,робокофейня,20,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,1,raw/arenda-robo-kofeyni-2.wordstat.json
arenda-robo-kofeyni,аренда робо кофейни,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-robo-kofeyni-3.wordstat.json
arenda-robo-kofeyni,робот кофе,924,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,22,raw/arenda-robo-kofeyni-4.wordstat.json
arenda-roboshashki,робошашки,11,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,1,raw/arenda-roboshashki-1.wordstat.json
arenda-roboshashki,робот шашки,78,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,2,raw/arenda-roboshashki-2.wordstat.json
arenda-roboshashki,аренда робота для игры в шашки,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-roboshashki-3.wordstat.json
arenda-roboshashki,робот шашист,4,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-roboshashki-4.wordstat.json
arenda-robot-barmen,робобар,20,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,1,raw/arenda-robot-barmen-1.wordstat.json
arenda-robot-barmen,робот бармен,368,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,10,raw/arenda-robot-barmen-2.wordstat.json
arenda-robot-barmen,аренда робота бармена,2,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-robot-barmen-3.wordstat.json
arenda-robot-barmen,робобар аренда,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-robot-barmen-4.wordstat.json
arenda-robota-ardi,робот арди,146,10.08.2026,08.09.2026,all,desktop+smartphone+tablet,3,raw/arenda-robota-ardi-1.wordstat.json
arenda-robota-ardi,арди робот аренда,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-robota-ardi-2.wordstat.json
arenda-robota-ardi,аренда робота арди,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-robota-ardi-3.wordstat.json
arenda-robota-ardi,робот арди возможности,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-robota-ardi-4.wordstat.json
arenda-robota-hudozhnika-a4,робот художник а4,0,09.08.2026,09.09.2026,all,desktop+smartphone+tablet,0,raw/arenda-robota-hudozhnika-a4-1.wordstat.json
